year,population,note
-200000,0.015,Mitchondrial Eve
-140000,0.015,Y-chromosomal Adam
-70000,0.015,Bottleneck?
-10000,1
-9000,3
-8000,5
-7000,7
-6000,10
-5000,15
-4000,20
-3000,25
-2000,35
-1000,50
-500,100
1,200,Jeebus
1000,310
1300,450
1400,350,Black Plague
1750,791
1800,978
1850,1262
1900,1650
1950,2519
1955,2756
1960,2982
1965,3335
1970,3692
1975,4068
1980,4435
1985,4831
1990,5263
1995,5674
2000,6070
2005,6454
2008,6707
2012,7000
